216 287




0	-2877625	4325568
1	-2875155	4325603
2	-2877958	4325564
3	-287853		4325556
4	-2879079	4325549
5	-2879416	4325544
6	-2878334	4325559
7	-2879343	4325545
8	-2880368	4325531
9	-2880579	4325528
10	-2879576	4325542
11	-2880106	4325535
12	-2880610	4325528
13	-2880780	4325526
14	-2881526	4325515
15	-2882921	4325496
16	-2884609	4325473
17	-2885904	4325455
18	-2887021	4325440
19	-2887542	4325432
20	-2887410	4325434
21	-2887200	4325437
22	-2886962	4325440
23	-2886818	4325442
24	-2886582	4325445
25	-2886888	4325441
26	-2887812	4325428
27	-2888744	4325415
28	-2889819	4325400
29	-2890987	4325384
30	-2892112	4325369
31	-2893086	4325355
32	-2894162	4325340
33	-2894402	4325337
34	-2894560	4325335
35	-2894701	4325333
36	-2894901	4325331
37	-2895018	4325329
38	-2895186	4325327
39	-2895352	4325325
40	-2893908	4325345
41	-2892497	4325364
42	-2891145	4325383
43	-2889667	4325403
44	-2888382	4325421
45	-2892537	4325363
46	-2895016	4325329
47	-2895780	4325318
48	-2896283	4325311
49	-2897157	4325299
50	-2898391	4325282
51	-2898095	4325286
52	-2897630	4325292
53	-2899851	4325261
54	-2881349	4325517
55	-2897713	4325292
56	-2899524	4325266
57	-2900649	4325251
58	-2901606	4325238
59	-2902130	4325231
60	-2903514	4325211
61	-2902437	4325226
62	-2904040	4325204
63	-2905576	4325183
64	-2907255	4325160
65	-2904444	4325198
66	-2908077	4325148
67	-2908146	4325147
68	-2908963	4325136
69	-2910666	4325113
70	-2910832	4325110
71	-2912626	4325086
72	-2910354	4325117
73	-2911950	4325095
74	-2912806	4325083
75	-2913574	4325072
76	-2914341	4325062
77	-2914971	4325053
78	-2916414	4325033
79	-2917496	4325018
80	-2920123	4324982
81	-2916806	4325028
82	-2919287	4324993
83	-2920851	4324972
84	-2921699	4324960
85	-2922310	4324952
86	-2923480	4324935
87	-2925069	4324913
88	-2923855	4324930
89	-2925912	4324902
90	-2927111	4324885
91	-2928381	4324868
92	-2929715	4324849
93	-2930964	4324832
94	-2933165	4324801
95	-2934096	4324789
96	-2933805	4324793
97	-2932494	4324811
98	-2930897	4324833
99	-2928545	4324866
100	-2926285	4324897
101	-2924465	4324922
102	-2922783	4324946
103	-2920309	4324980
104	-2918078	4325011
105	-2915217	4325050
106	-2912209	4325092
107	-2909360	4325131
108	-2906539	4325170
109	-2903786	4325208
110	-2900382	4325255
111	-2898056	4325287
112	-2914922	4325054
113	-2914607	4325058
114	-2913933	4325067
115	-2916485	4325032
116	-2913719	4325070
117	-2913434	4325074
118	-2913045	4325079
119	-2914361	4325061
120	-2913229	4325076
121	-2912879	4325081
122	-2901965	4325232
123	-2906621	4325167
124	-2910275	4325117
125	-2910811	4325110
126	-2908792	4325138
127	-2906505	4325169
128	-2903126	4325216
129	-2909579	4325127
130	-2908934	4325135
131	-2908723	4325138
132	-2907699	4325152
133	-2905638	4325181
134	-2905374	4325184
135	-2907603	4325154
136	-2912635	4325084
137	-2912364	4325088
138	-2912104	4325091
139	-2887698	4325430
140	-2896416	4325308
141	-2914895	4325053
142	-2915791	4325040
143	-2914862	4325053
144	-2915761	4325040
145	-2917849	4325012
146	-2919705	4324986
147	-2921073	4324967
148	-2917395	4325018
149	-2920633	4324973
150	-2922940	4324941
151	-2923411	4324935
152	-2923897	4324929
153	-2924501	4324921
154	-2920682	4324973
155	-2921653	4324960
156	-2920431	4324976
157	-2926571	4324891
158	-2929228	4324854
159	-2930965	4324830
160	-2927928	4324873
161	-2929095	4324857
162	-2932024	4324817
163	-2932781	4324807
164	-2937155	4324746
165	-2941077	4324692
166	-2941629	4324681
167	-2943371	4324664
168	-2942099	4324679
169	-2938880	4324723
170	-2936015	4324763
171	-2951457	4324549
172	-2954937	4324500
173	-2942532	4324672
174	-2937616	4324739
175	-2938930	4324720
176	-2934636	4324780
177	-2939846	4324708
178	-2957727	4324462
179	-2935125	4324774
180	-2936995	4324748
181	-2939566	4324712
182	-2932550	4324809
183	-2932267	4324813
184	-2937379	4324743
185	-2939967	4324707
186	-2917339	4325019
187	-2919499	4324989
188	-2920543	4324975
189	-2918949	4324998
190	-2917338	4325020
191	-2914454	4325060
192	-2916761	4325027
193	-2913172	4325077
194	-2921419	4324964
195	-2904101	4325203
196	-2907110	4325161
197	-2907473	4325156
198	-2907255	4325159
199	-2907538	4325155
200	-2907787	4325152
201	-2908067	4325148
202	-2909150	4325133
203	-2911567	4325100
204	-2909975	4325121
205	-2912113	4325092
206	-2911696	4325098
207	-2912875	4325082
208	-2903611	4325209
209	-2904315	4325200
210	-2901091	4325244
211	-2900000	4325260
212	-2900842	4325248
213	-2900461	4325253
214	-2899941	4325260
215	-2883742	4325484



0	2
0	139
1	2
2	6
3	4
6	3
6	7
7	8
8	9
4	5
5	10
10	11
11	12
12	13
12	14
14	15
15	16
16	17
17	18
18	19
19	20
19	44
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
33	46
34	35
35	36
36	37
37	38
38	39
44	43
43	42
42	41
41	40
40	39
39	111
111	110
110	109
109	108
108	107
107	106
106	105
105	104
105	112
112	113
113	76
76	77
76	114
76	75
114	116
116	191
191	115
115	190
190	191
116	117
116	207
117	118
118	119
117	119
118	205
118	121
121	136
121	125
121	193
121	200
136	137
136	120
137	138
138	141
141	148
148	186
148	142
142	143
148	149
142	144
142	146
142	147
142	145
149	150
150	151
150	157
157	160
157	159
159	158
159	176
159	183
176	175
175	181
181	177
181	174
181	180
177	185
185	167
185	184
185	165
165	166
165	173
165	164
165	168
165	167
168	171
171	172
172	178
178	171
167	168
168	169
169	95
169	170
95	170
95	96
95	97
96	94
94	164
94	163
94	93
164	165
46	47
47	48
48	49
49	50
50	55
50	51
50	56
56	57
57	58
58	61
61	59
61	60
62	61
62	63
63	64
64	66
63	65
66	68
66	67
66	201
201	200
200	65
200	199
199	198
199	209
199	202
198	195
198	196
198	204
195	210
195	212
195	213
195	208
195	209
212	53
53	52
212	210
212	213
213	214
214	122
208	128
128	122
127	128
127	208
127	123
197	127
197	196
197	126
126	129
129	125
129	130
125	124
125	121
130	131
131	132
132	135
132	133
133	134
194	80
194	85
194	155
194	188
188	155
188	189
189	190
190	191
190	115
191	115
191	116
189	80
190	192
192	193
154	192
188	187
187	186
186	148
187	154
187	156
139	140
140	138
9	54
9	215
215	25
180	179
179	182
179	183
179	184
183	162
162	161
162	182
182	163
163	94
165	173
165	166
177	166
34	45
211	51
151	152
152	153
153	89
68	69
69	70
69	73
73	74
74	75
74	71
75	76
76	114
76	77
76	113
113	112
112	105
108	72
114	116
77	78
78	79
78	81
79	82
82	83
83	80
83	84
83	85
85	86
86	87
87	88
87	89
89	90
90	91
91	92
92	93
